date,value
20160108,26
20160109,26
20160111,17
20160112,16
20160113,18
20160114,15
20160115,10
20160116,14
20160119,9
20160120,11
20160121,13
20160122,14
20160123,13
20160125,15
20160126,16
20160127,18
20160128,18
20160129,26
20160130,24
20160201,26
20160202,26
20160203,24
20160204,25
20160205,17
20160206,19
20160208,17
20160209,15
20160210,17
20160211,18
20160212,21
20160213,21
20160216,29
20160217,37
20160218,43
20160219,43
20160220,51
20160222,50
20160223,50
20160224,53
20160225,53
20160226,52
20160227,55
20160229,55
20160301,61
20160302,66
20160303,69
20160304,68
20160305,71
20160307,71
20160308,70
20160309,71
20160310,72
20160311,75
20160312,73
20160314,74
20160315,75
20160316,75
20160317,78
20160318,79
20160319,79
20160321,76
20160322,76
20160323,70
20160324,72
20160326,66
20160328,64
20160329,67
20160330,67
20160331,71
20160401,74
20160402,74
20160404,73
20160405,72
20160406,72
20160407,72
20160408,68
20160409,67
20160411,66
20160412,66
20160413,70
20160414,70
20160415,70
20160416,71
20160418,72
20160419,73
20160420,75
20160421,75
20160422,74
20160423,73
20160425,71
20160426,71
20160427,72
20160428,70
20160429,67
20160430,67
20160502,69
20160503,63
20160504,63
20160505,60
20160506,60
20160507,59
20160509,60
20160510,62
20160511,62
20160512,61
20160513,59
20160514,58
20160516,58
20160517,54
20160518,56
20160519,54
20160520,55
20160521,55
20160523,57
20160524,63
20160525,68
20160526,74
20160527,78
20160528,76
20160531,77
20160601,78
20160602,79
20160603,77
20160604,78
20160606,79
20160607,80
20160608,80
20160609,79
20160610,63
20160611,69
20160613,54
20160614,54
20160615,53
20160616,50
20160617,53
20160618,56
20160620,60
20160621,61
20160622,61
20160623,66
20160624,44
20160625,59
20160627,45
20160628,48
20160629,58
20160630,62
20160701,71
20160702,69
20160705,69
20160706,69
20160707,69
20160708,75
20160709,74
20160711,80
20160712,86
20160713,86
20160714,90
20160715,88
20160716,89
20160718,89
20160719,89
20160720,88
20160721,87
20160722,85
20160723,85
20160725,85
20160726,82
20160727,84
20160728,82
20160729,80
20160730,80
20160801,64
20160802,78
20160803,80
20160804,81
20160805,85
20160806,83
20160808,80
20160809,75
20160810,78
20160811,78
20160812,75
20160813,78
20160815,78
20160816,78
20160817,77
20160818,78
20160819,76
20160820,75
20160822,74
20160823,75
20160824,70
20160825,65
20160826,63
20160827,64
20160829,64
20160830,64
20160831,62
20160901,63
20160902,63
20160903,64
20160906,65
20160907,64
20160908,69
20160909,47
20160910,51
20160912,55
20160913,36
20160914,34
20160915,39
20160916,44
20160917,42
20160919,45
20160920,45
20160921,54
20160922,59
20160923,53
20160924,49
20160926,47
20160927,45
20160928,45
20160929,44
20160930,43
20161001,43
20161003,45
20161004,49
20161005,49
20161006,52
20161007,55
20161008,53
20161010,55
20161011,47
20161012,45
20161013,34
20161014,33
20161015,37
20161017,33
20161018,38
20161019,41
20161020,38
20161021,44
20161022,44
20161024,49
20161025,49
20161026,43
20161027,46
20161028,33
20161029,37
20161031,26
20161101,22
20161102,18
20161103,14
20161104,14
20161105,19
20161107,34
20161108,30
20161109,42
20161110,38
20161111,48
20161112,51
20161114,57
20161115,63
20161116,60
20161117,63
20161118,61
20161119,64
20161121,68
20161122,67
20161123,70
20161125,71
20161126,71
20161128,72
20161129,72
20161130,73
20161201,71
20161202,71
20161203,72
20161205,75
20161206,79
20161207,83
20161208,83
20161209,86
20161210,86
20161212,87
20161213,86
20161214,86
20161215,86
20161216,84
20161217,82
20161219,79
20161220,75
20161221,75
20161222,71
20161223,66
20161224,68
20161227,70
20161228,66
20161229,65
20161230,58
20161231,63
20170103,70
20170104,70
20170105,70
20170106,68
20170107,68
20170109,62
20170110,62
20170111,61
20170112,55
20170113,58
20170114,57
20170117,58
20170118,55
20170119,53
20170120,53
20170121,54
20170123,55
20170124,59
20170125,55
20170126,58
20170127,60
