date, value
20151103,19.3643
20151104,19.488
20151105,19.4531
20151106,19.6022
20151109,19.4501
20151110,19.5334
20151111,19.4869
20151112,19.21
20151113,19.0528
20151116,19.2314
20151117,19.4537
20151118,19.6398
20151119,19.5823
20151120,19.7322
20151123,19.7633
20151124,19.7015
20151125,19.8026
20151126,19.8418
20151127,19.8479
20151130,19.8407
20151201,19.9393
20151202,19.8432
20151203,19.1299
20151204,19.2528
20151207,19.2233
20151208,19.0103
20151209,18.7813
20151210,18.8206
20151211,18.4259
20151214,18.3127
20151215,18.6552
20151216,18.8666
20151217,18.9038
20151218,18.6407
20151221,18.5765
20151222,18.6212
20151223,19.0132
20151224,18.9048
20151228,18.8429
20151229,19.1313
20151230,19.0127
20151231,18.9458
20160104,18.6843
20160105,18.8269
20160106,18.5429
20160107,18.0138
20160108,17.7257
20160111,17.7652
20160112,17.8581
20160113,17.6215
20160114,17.6923
20160115,17.1946
20160118,17.2355
20160119,17.2719
20160120,16.9479
20160121,17.1339
20160122,17.5785
20160125,17.3861
20160126,17.5273
20160127,17.4436
20160128,17.3503
20160129,17.8784
20160201,17.8096
20160202,17.4843
20160203,17.2735
20160204,17.1786
20160205,16.9417
20160208,16.6548
20160209,16.3079
20160210,16.4574
20160211,16.0491
20160212,16.3842
20160215,16.7253
20160216,16.9066
20160217,17.1959
20160218,17.2441
20160219,17.1751
20160222,17.521
20160223,17.3323
20160224,17.2683
20160225,17.473
20160226,17.6501
20160229,17.6667
20160301,17.9985
20160302,18.1992
20160303,18.1475
20160304,18.1344
20160307,18.1687
20160308,17.8986
20160309,18.0239
20160310,17.7908
20160311,18.097
20160314,18.1967
20160315,18.0957
20160316,18.1838
20160318,18.104
20160321,18.1362
20160322,18.1893
20160323,18.1372
20160324,18.0561
20160329,18.1861
20160330,18.102
20160331,17.9864
20160401,17.981
20160404,17.9312
20160405,17.6975
20160406,17.8656
20160407,17.7301
20160408,17.8061
20160411,17.7527
20160412,17.9903
20160413,18.3808
20160414,18.4807
20160415,18.4095
20160418,18.4126
20160419,18.5294
20160420,18.6222
20160421,18.6456
20160422,18.6803
20160425,18.5955
20160426,18.5664
20160427,18.5681
20160428,18.4709
20160429,18.1784
20160503,17.9501
20160504,17.8333
20160505,17.954
20160506,17.9419
20160509,17.9787
20160510,18.1979
20160511,18.0456
20160512,18.06
20160513,18.0766
20160516,18.1663
20160517,18.0879
20160518,18.1742
20160519,18.1489
20160520,18.2735
20160523,18.2523
20160524,18.5266
20160525,18.7174
20160526,18.6898
20160527,18.8251
20160530,18.8229
20160531,18.8084
20160601,18.7246
20160602,18.7584
20160603,18.5275
20160607,18.6658
20160608,18.6587
20160609,18.6559
20160610,18.4426
20160613,18.2228
20160614,18.2005
20160615,18.1984
20160616,18.2815
20160617,18.2019
20160620,18.3741
20160621,18.5347
20160622,18.5073
20160623,18.6594
20160624,18.0924
20160627,17.9241
20160628,18.1183
20160629,18.4335
20160630,18.6358
20160701,18.6792
20160704,18.6766
20160705,18.5521
20160706,18.5642
20160707,18.5996
20160708,18.8721
20160711,19.0096
20160712,19.1343
20160713,19.1176
20160714,19.2168
20160715,19.2448
20160718,19.2912
20160719,19.3263
20160720,19.4285
20160721,19.4269
20160722,19.4815
20160725,19.4528
20160726,19.4578
20160727,19.4524
20160728,19.3027
20160729,19.2909
20160802,19.048
20160803,19.104
20160804,19.2151
20160805,19.4349
20160808,19.4652
20160809,19.4967
20160810,19.3989
20160811,19.4737
20160812,19.4776
20160815,19.4837
20160816,19.2829
20160817,19.2673
20160818,19.2373
20160819,19.1891
20160822,19.1889
20160823,19.2689
20160824,19.3116
20160825,19.2126
20160826,19.2019
20160829,19.3932
20160830,19.3997
20160831,19.3792
20160901,19.3291
20160902,19.5068
20160905,19.5675
20160906,19.5004
20160907,19.5144
20160908,19.4261
20160909,19.1263
20160912,19.1996
20160913,18.9307
20160914,18.8951
20160915,19.0409
20160916,19.0831
20160919,19.1257
20160920,19.149
20160921,19.4101
20160922,19.4481
20160923,19.3639
20160926,19.1166
20160927,19.2946
20160928,19.3828
20160929,19.2511
20160930,19.3026
20161003,19.3054
20161004,19.3539
20161005,19.3212
20161006,19.3458
20161007,19.2644
20161010,19.3753
20161011,19.3318
20161012,19.3579
20161013,19.2592
20161014,19.3532
20161017,19.3062
20161018,19.4897
20161019,19.5673
20161020,19.6124
20161021,19.6782
20161024,19.7127
20161025,19.6995
20161026,19.5803
20161027,19.5191
20161028,19.459
20161101,19.1774
20161102,18.924
20161103,18.9039
20161104,18.7784
20161107,19.2197
20161108,19.2742
20161109,19.5033
20161110,19.6861
20161111,19.6793
20161114,19.8693
20161115,19.9741
20161116,20.0367
20161117,20.1393
20161118,20.2155
20161121,20.2798
20161122,20.3734
20161123,20.4454
20161124,20.4282
20161125,20.4393
20161128,20.3856
20161129,20.3494
20161130,20.3335
20161201,20.2866
20161202,20.1969
20161205,20.1838
20161206,20.2822
20161207,20.4753
20161208,20.8166
20161209,21.0493
20161212,20.9092
20161213,21.01
20161214,20.8653
20161215,21.2306
20161216,21.2433
20161219,21.2371
20161220,21.3913
20161221,21.2635
20161222,21.1898
20161223,21.196
20161228,21.2319
20161229,21.0703
20161230,20.9342
20170103,21.3456
20170104,21.353
20170105,21.2024
20170106,21.2588
20170109,21.2291
20170110,21.1882
20170111,21.4208
20170112,21.1117
20170113,21.2253
20170116,21.2115
20170117,21.0252
20170118,21.0599
20170119,21.1084
20170120,21.0552
20170123,20.9073
20170124,20.998
20170125,21.2023
20170126,21.3239
20170127,21.2449
20170130,21.1409
20170131,20.918
20170201,21.0245
20170202,20.9544
20170203,21.1104
20170206,21.1206
20170207,21.2138
20170208,21.2365
20170209,21.3858
20170210,21.5536
20170213,21.6961
20170214,21.7871
20170215,21.8876
20170216,21.7296
20170217,21.8138
20170220,21.8349
20170221,22.085
20170222,22.0649
20170223,22.0048
20170224,22.002
20170227,21.9222
20170228,21.8611
20170301,22.2193
20170302,22.1955
20170303,22.1225
20170306,22.0092
20170307,21.9849
20170308,21.9689
20170309,21.9325
20170310,21.8966
20170313,21.923
20170314,21.8888
20170315,22.0523
20170316,21.9571
20170320,21.8829
20170321,21.6044
20170322,21.5782
20170323,21.6347
20170324,21.6084
20170327,21.444
20170328,21.6378
20170329,21.8667
20170330,21.9387
20170331,21.9472
20170403,21.9798
20170404,21.9721
20170405,21.9259
20170406,21.9506
20170407,22.0218
20170410,22.0778
20170411,22.0316
20170412,21.9909
20170413,21.8626
20170418,21.7646
20170419,21.7073
20170420,21.7403
